Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
"Snacks, bagel chips, plain",25046,g,5.05,kcal,451,g,12.34,g,15.14,g,66.36,g,4.1,g,6.02,mg,24,mg,5.05,mg,39,mg,131,mg,140,mg,233,mg,1.00,mg,0.0,mg,0.523,mg,0.337,mg,7.660,mg,0.117,g,220,g,0.00,g,0,IU,0,mg,0.81,g,0.0,IU,0,g,5.2,g,6.835,g,6.050,g,2.085,mg,0
"English muffins, raisin-cinnamon, toasted (includes apple-cinnamon)",18263,g,32.07,kcal,276,g,8.87,g,2.21,g,55.04,g,3.0,g,13.34,mg,139,mg,4.90,mg,28,mg,108,mg,194,mg,342,mg,1.00,mg,1.4,mg,0.518,mg,0.245,mg,4.285,mg,0.062,g,131,g,0.00,g,0,IU,1,mg,0.36,g,0.0,IU,0,g,2.5,g,0.579,g,1.065,g,0.469,mg,0
"Fast foods, bagel, with breakfast steak, egg, cheese, and condiments",21411,g,44.90,kcal,282,g,15.95,g,14.07,g,22.99,g,0.2,g,2.97,mg,93,mg,2.06,mg,22,mg,204,mg,145,mg,642,mg,2.21,mg,0.0,mg,0.236,mg,0.255,mg,3.355,mg,0.132,g,73,g,1.27,g,83,IU,306,mg,0.55,g,0.4,IU,15,g,3.4,g,5.419,g,4.997,g,1.849,mg,130
Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
"KEEBLER, CHIPS DELUXE, Oatmeal Chocolate Chip Cookies",28057,g,3.00,kcal,500,g,6.40,g,24.10,g,65.30,g,4.4,g,32.30,N/A,0,mg,3.20,mg,39,mg,76,mg,185,mg,332,mg,0.60,N/A,0,mg,0.270,mg,0.160,mg,1.800,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,g,9.400,g,6.300,g,6.900,mg,0
"English muffins, raisin-cinnamon, toasted (includes apple-cinnamon)",18263,g,32.07,kcal,276,g,8.87,g,2.21,g,55.04,g,3.0,g,13.34,mg,139,mg,4.90,mg,28,mg,108,mg,194,mg,342,mg,1.00,mg,1.4,mg,0.518,mg,0.245,mg,4.285,mg,0.062,g,131,g,0.00,g,0,IU,1,mg,0.36,g,0.0,IU,0,g,2.5,g,0.579,g,1.065,g,0.469,mg,0
"Fast foods, bagel, with egg, sausage patty, cheese, and condiments",21410,g,45.17,kcal,295,g,12.98,g,16.97,g,22.64,g,0.2,g,2.87,mg,94,mg,1.77,mg,20,mg,185,mg,123,mg,550,mg,1.05,mg,0.5,mg,0.305,mg,0.218,mg,2.877,mg,0.091,g,80,g,0.96,g,64,IU,212,mg,0.64,g,0.4,IU,18,g,2.8,g,6.396,g,6.026,g,2.603,mg,133
Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
Name,Code,Water Units,Water,Energy Units,Energy,Protein Units,Protein,Total lipid (fat) Units,Total lipid (fat),"Carbohydrate, by difference Units","Carbohydrate, by difference","Fiber, total dietary Units","Fiber, total dietary","Sugars, total Units","Sugars, total","Calcium, Ca Units","Calcium, Ca","Iron, Fe Units","Iron, Fe","Magnesium, Mg Units","Magnesium, Mg","Phosphorus, P Units","Phosphorus, P","Potassium, K Units","Potassium, K","Sodium, Na Units","Sodium, Na","Zinc, Zn Units","Zinc, Zn","Vitamin C, total ascorbic acid Units","Vitamin C, total ascorbic acid",Thiamin Units,Thiamin,Riboflavin Units,Riboflavin,Niacin Units,Niacin,Vitamin B-6 Units,Vitamin B-6,"Folate, DFE Units","Folate, DFE",Vitamin B-12 Units,Vitamin B-12,"Vitamin A, RAE Units","Vitamin A, RAE","Vitamin A, IU Units","Vitamin A, IU",Vitamin E (alpha-tocopherol) Units,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3) Units,Vitamin D (D2 + D3),Vitamin D Units,Vitamin D,Vitamin K (phylloquinone) Units,Vitamin K (phylloquinone),"Fatty acids, total saturated Units","Fatty acids, total saturated","Fatty acids, total monounsaturated Units","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated Units","Fatty acids, total polyunsaturated",Cholesterol UnitsCholesterol
